Timestamp,Turbine Name,Active Power,Wind Speed
2026-02-06 18:31:14,WA102,-0.7 kW,2.6 m/s
2026-02-06 18:31:15,WA103,-0.4 kW,3.4 m/s
2026-02-06 18:31:17,WA101,-0.5 kW,1.6 m/s
2026-02-06 18:31:50,WA105,-0.4 kW,2.9 m/s
2026-02-06 18:31:50,WA104,-0.8 kW,2.8 m/s
2026-02-06 18:31:51,WA106,-0.4 kW,2.5 m/s
2026-02-06 18:32:23,WA107,-1.2 kW,2.5 m/s
2026-02-06 18:32:23,WA108,-2.1 kW,2.6 m/s
2026-02-06 18:32:26,WA109,-0.8 kW,1.1 m/s
2026-02-06 18:32:55,WA111,-0.8 kW,2.4 m/s
2026-02-06 18:32:55,WA110,-11.3 kW,3.0 m/s
2026-02-06 18:32:57,WA112,-1.3 kW,1.5 m/s
2026-02-06 18:33:28,WA115,-0.8 kW,2.3 m/s
2026-02-06 18:33:29,WA114,-5.7 kW,3.1 m/s
2026-02-06 18:33:30,WA113,11.4 kW,3.3 m/s
2026-02-06 18:33:58,WA116,-9.1 kW,2.9 m/s
2026-02-06 18:34:00,WA118,305.7 kW,4.8 m/s
2026-02-06 18:34:01,WA117,35.3 kW,3.4 m/s
2026-02-06 18:34:34,WA119,308.1 kW,4.2 m/s
2026-02-06 18:34:34,WA120,259.0 kW,4.3 m/s
2026-02-06 18:34:35,WA121,-0.5 kW,2.7 m/s
2026-02-06 18:35:05,WA122,162.4 kW,3.5 m/s
2026-02-06 18:35:05,WA123,175.1 kW,3.5 m/s
2026-02-06 18:35:07,WA124,-1.2 kW,2.5 m/s
2026-02-06 18:35:35,WA126,-0.4 kW,3.1 m/s
2026-02-06 18:35:36,WA125,229.4 kW,4.2 m/s
2026-02-06 18:35:39,WA127,290.7 kW,4.4 m/s
2026-02-06 18:36:03,WA128,465.0 kW,5.2 m/s
2026-02-06 18:36:04,WA129,244.9 kW,3.5 m/s
2026-02-06 18:36:07,WA130,-1.2 kW,2.9 m/s
2026-02-06 18:36:35,WA131,407.2 kW,4.3 m/s
2026-02-06 18:36:36,WA132,206.6 kW,3.7 m/s
2026-02-06 18:36:36,WA133,427.7 kW,4.4 m/s
2026-02-06 18:37:05,WA134,289.9 kW,4.1 m/s
2026-02-06 18:37:07,WA202,272.3 kW,3.9 m/s
2026-02-06 18:37:08,WA201,319.3 kW,4.0 m/s
2026-02-06 18:37:36,WA203,210.1 kW,3.7 m/s
2026-02-06 18:37:40,WA205,-0.4 kW,4.6 m/s
2026-02-06 18:37:41,WA204,347.2 kW,3.7 m/s
2026-02-06 18:38:08,WA206,322.6 kW,4.1 m/s
2026-02-06 18:38:10,WA208,189.7 kW,3.9 m/s
2026-02-06 18:38:11,WA207,374.1 kW,4.6 m/s
2026-02-06 18:47:18,WA102,-0.4 kW,3.2 m/s
2026-02-06 18:47:19,WA103,-0.6 kW,2.9 m/s
2026-02-06 18:47:20,WA101,-0.4 kW,2.9 m/s
2026-02-06 18:47:44,WA104,-0.6 kW,2.3 m/s
2026-02-06 18:47:45,WA106,-0.4 kW,1.8 m/s
2026-02-06 18:47:50,WA105,-0.4 kW,3.0 m/s
2026-02-06 18:48:17,WA108,-2.3 kW,2.4 m/s
2026-02-06 18:48:18,WA107,-1.2 kW,3.1 m/s
2026-02-06 18:48:19,WA109,-0.8 kW,2.6 m/s
2026-02-06 18:48:48,WA111,-0.8 kW,3.9 m/s
2026-02-06 18:48:49,WA110,-0.4 kW,2.8 m/s
2026-02-06 18:48:49,WA112,-1.2 kW,2.7 m/s
2026-02-06 18:49:17,WA113,-0.9 kW,3.1 m/s
2026-02-06 18:49:17,WA114,-1.2 kW,1.2 m/s
2026-02-06 18:49:19,WA115,-0.8 kW,3.5 m/s
2026-02-06 18:49:48,WA116,32.9 kW,3.6 m/s
2026-02-06 18:49:51,WA117,-1.2 kW,2.7 m/s
2026-02-06 18:49:56,WA118,129.1 kW,4.4 m/s
2026-02-06 18:50:16,WA119,324.0 kW,4.2 m/s
2026-02-06 18:50:16,WA120,-0.8 kW,4.6 m/s
2026-02-06 18:50:25,WA121,286.4 kW,4.1 m/s
2026-02-06 18:50:44,WA122,-0.4 kW,1.5 m/s
2026-02-06 18:50:45,WA123,0.0 kW,2.5 m/s
2026-02-06 18:50:50,WA124,-1.3 kW,2.8 m/s
