Timestamp,Turbine Name,Active Power,Wind Speed
2026-02-03 11:28:30,WA101,1658.3 kW,6.9 m/s
2026-02-03 11:28:31,WA102,2844.0 kW,8.0 m/s
2026-02-03 11:28:34,WA103,3515.1 kW,8.8 m/s
2026-02-03 11:28:56,WA104,4482.2 kW,9.6 m/s
2026-02-03 11:28:57,WA105,4527.9 kW,10.6 m/s
2026-02-03 11:29:03,WA106,4518.1 kW,9.2 m/s
2026-02-03 11:29:24,WA108,4505.6 kW,10.1 m/s
2026-02-03 11:29:24,WA107,3846.2 kW,7.6 m/s
2026-02-03 11:29:29,WA109,4500.2 kW,11.5 m/s
2026-02-03 11:29:49,WA110,4498.4 kW,10.5 m/s
2026-02-03 11:29:50,WA111,4566.5 kW,10.7 m/s
2026-02-03 11:29:56,WA112,2560.1 kW,5.2 m/s
2026-02-03 11:30:17,WA113,2489.3 kW,5.7 m/s
2026-02-03 11:30:17,WA114,2056.3 kW,7.3 m/s
2026-02-03 11:30:32,WA115,3049.6 kW,8.2 m/s
2026-02-03 11:30:41,WA116,4522.9 kW,8.8 m/s
2026-02-03 11:30:43,WA117,4523.1 kW,9.1 m/s
2026-02-03 11:31:00,WA118,2991.1 kW,8.4 m/s
2026-02-03 11:31:09,WA120,3911.2 kW,9.3 m/s
2026-02-03 11:31:10,WA119,3697.8 kW,7.7 m/s
2026-02-03 11:31:30,WA121,4004.8 kW,8.5 m/s
2026-02-03 11:31:36,WA122,3888.2 kW,9.1 m/s
2026-02-03 11:31:36,WA123,3379.9 kW,7.8 m/s
2026-02-03 11:31:55,WA124,1482.3 kW,7.5 m/s
2026-02-03 11:32:01,WA126,4505.0 kW,9.3 m/s
2026-02-03 11:32:03,WA125,2529.3 kW,8.2 m/s
2026-02-03 11:32:17,WA127,4100.5 kW,8.4 m/s
2026-02-03 11:32:30,WA129,3985.2 kW,10.5 m/s
2026-02-03 11:32:31,WA128,2857.5 kW,6.9 m/s
2026-02-03 11:32:49,WA130,3941.1 kW,8.0 m/s
2026-02-03 11:32:56,WA132,2662.4 kW,7.7 m/s
2026-02-03 11:32:56,WA131,1693.6 kW,5.3 m/s
2026-02-03 11:33:14,WA133,4202.1 kW,9.2 m/s
2026-02-03 11:33:22,WA134,4457.7 kW,9.9 m/s
2026-02-03 11:33:25,WA201,4527.0 kW,13.1 m/s
2026-02-03 11:33:45,WA202,4493.9 kW,9.7 m/s
2026-02-03 11:33:49,WA203,4498.5 kW,14.2 m/s
2026-02-03 11:33:50,WA204,4580.9 kW,9.4 m/s
2026-02-03 11:34:10,WA205,4476.4 kW,9.5 m/s
2026-02-03 11:34:14,WA206,4481.3 kW,9.4 m/s
2026-02-03 11:34:16,WA207,4463.2 kW,10.3 m/s
2026-02-03 11:34:34,WA208,4499.1 kW,9.0 m/s
2026-02-03 11:34:42,WA209,4536.6 kW,11.9 m/s
2026-02-03 11:34:43,WA210,4497.9 kW,13.1 m/s
2026-02-03 11:35:03,WA211,4570.0 kW,10.9 m/s
2026-02-03 11:35:10,WA213,4516.5 kW,12.5 m/s
2026-02-03 11:35:11,WA214,3998.5 kW,9.5 m/s
2026-02-03 11:35:30,WA215,4165.2 kW,9.4 m/s
2026-02-03 11:35:36,WA216,2828.1 kW,6.9 m/s
2026-02-03 11:35:37,WA217,4531.3 kW,8.8 m/s
2026-02-03 11:35:58,WA218,4492.6 kW,11.4 m/s
2026-02-03 11:36:01,WA219,4233.3 kW,9.5 m/s
2026-02-03 11:36:02,WA220,4449.3 kW,8.3 m/s
2026-02-03 11:36:24,WA221,4440.2 kW,13.0 m/s
2026-02-03 11:36:31,WA222,4478.5 kW,12.8 m/s
2026-02-03 11:36:31,WA223,4557.0 kW,10.9 m/s
2026-02-03 11:36:53,WA224,3101.2 kW,7.7 m/s
2026-02-03 11:36:57,WA225,4477.1 kW,8.7 m/s
2026-02-03 11:36:58,WA226,4509.0 kW,10.7 m/s
2026-02-03 11:37:19,WA227,4532.7 kW,11.7 m/s
2026-02-03 11:37:23,WA228,4460.9 kW,9.9 m/s
2026-02-03 11:37:26,WA229,4498.2 kW,10.1 m/s
2026-02-03 11:37:45,WA230,4473.2 kW,11.1 m/s
2026-02-03 11:37:49,WA231,4522.0 kW,11.5 m/s
2026-02-03 11:37:51,WA232,4557.5 kW,11.9 m/s
2026-02-03 11:38:11,WA301,2538.6 kW,6.6 m/s
2026-02-03 11:38:16,WA302,2750.1 kW,8.5 m/s
2026-02-03 11:38:17,WA303,3122.8 kW,8.8 m/s
2026-02-03 11:38:35,WA304,2202.8 kW,7.9 m/s
2026-02-03 11:38:41,WA305,2871.8 kW,8.2 m/s
2026-02-03 11:38:41,WA306,2896.0 kW,8.0 m/s
2026-02-03 11:39:03,WA307,1418.2 kW,6.3 m/s
2026-02-03 11:39:08,WA309,4529.3 kW,9.1 m/s
2026-02-03 11:39:08,WA308,4493.0 kW,9.3 m/s
2026-02-03 11:39:28,WA310,4493.8 kW,10.9 m/s
2026-02-03 11:39:35,WA312,4504.6 kW,12.2 m/s
2026-02-03 11:39:35,WA311,4511.2 kW,9.9 m/s
2026-02-03 11:39:55,WA313,3902.5 kW,9.3 m/s
2026-02-03 11:39:59,WA314,4483.8 kW,12.3 m/s
2026-02-03 11:40:03,WA315,4206.2 kW,9.0 m/s
2026-02-03 11:40:17,WA316,4504.1 kW,8.9 m/s
2026-02-03 11:40:24,WA317,3863.0 kW,9.0 m/s
2026-02-03 11:40:29,WA318,4529.0 kW,9.5 m/s
2026-02-03 11:40:43,WA319,3724.2 kW,10.2 m/s
2026-02-03 11:40:49,WA320,2611.2 kW,8.5 m/s
2026-02-03 11:40:54,WA321,3729.9 kW,8.3 m/s
2026-02-03 11:41:16,WA322,4525.4 kW,10.7 m/s
2026-02-03 11:41:19,WA323,4491.0 kW,10.7 m/s
2026-02-03 11:41:28,WA324,4498.6 kW,8.7 m/s
2026-02-03 11:41:42,WA325,4561.6 kW,9.2 m/s
2026-02-03 11:41:48,WA326,4485.2 kW,8.1 m/s
2026-02-03 11:41:53,WA327,4523.0 kW,8.7 m/s
2026-02-03 11:42:05,WA328,3750.6 kW,8.9 m/s
2026-02-03 11:42:10,WA329,4528.6 kW,11.1 m/s
2026-02-03 11:42:25,WA330,4548.5 kW,8.2 m/s
2026-02-03 11:42:32,WA331,2969.2 kW,6.5 m/s
