Timestamp,Turbine Name,Active Power,Wind Speed
2026-02-08 22:17:55,WA101,4524.0 kW,13.5 m/s
2026-02-08 22:18:37,WA101,4525.0 kW,13.6 m/s
2026-02-08 22:19:18,WA101,4528.8 kW,12.7 m/s
2026-02-08 22:19:58,WA101,4515.0 kW,14.1 m/s
2026-02-08 22:20:45,WA101,4485.8 kW,12.5 m/s
2026-02-08 22:21:26,WA101,4504.4 kW,12.2 m/s
2026-02-08 22:22:11,WA101,4546.7 kW,12.3 m/s
2026-02-08 22:22:54,WA101,4425.1 kW,11.0 m/s
2026-02-08 22:23:35,WA101,4446.9 kW,12.1 m/s
2026-02-08 22:24:15,WA101,4504.2 kW,10.6 m/s
2026-02-08 22:24:54,WA101,4555.4 kW,12.3 m/s
2026-02-08 22:25:34,WA101,4564.2 kW,12.0 m/s
2026-02-08 22:26:14,WA101,4500.7 kW,11.3 m/s
2026-02-08 22:26:55,WA101,4517.6 kW,15.0 m/s
2026-02-08 22:27:42,WA101,4513.8 kW,13.5 m/s
2026-02-08 22:28:24,WA101,4527.4 kW,10.2 m/s
2026-02-08 22:29:09,WA101,4449.5 kW,10.7 m/s
