Timestamp,Turbine Name,Active Power,Wind Speed
2026-02-09 06:10:01,WA101,4493.2 kW,13.7 m/s
2026-02-09 06:10:49,WA101,4480.6 kW,11.6 m/s
2026-02-09 06:11:31,WA101,4483.0 kW,12.2 m/s
2026-02-09 06:12:13,WA101,4475.5 kW,15.9 m/s
2026-02-09 06:12:54,WA101,4510.1 kW,14.4 m/s
2026-02-09 06:13:38,WA101,4482.9 kW,11.8 m/s
2026-02-09 06:14:20,WA101,4502.2 kW,15.7 m/s
2026-02-09 06:15:05,WA101,4480.4 kW,9.2 m/s
2026-02-09 06:15:49,WA101,4484.5 kW,14.4 m/s
2026-02-09 06:16:30,WA101,4535.0 kW,13.9 m/s
2026-02-09 06:17:11,WA101,4503.8 kW,10.1 m/s
2026-02-09 06:17:52,WA101,4494.6 kW,10.7 m/s
2026-02-09 06:18:33,WA101,4498.7 kW,13.2 m/s
2026-02-09 06:19:13,WA101,4490.5 kW,12.0 m/s
2026-02-09 06:19:58,WA101,4360.8 kW,11.5 m/s
2026-02-09 06:20:39,WA101,4516.2 kW,10.8 m/s
2026-02-09 06:21:22,WA101,4497.2 kW,13.6 m/s
2026-02-09 06:22:07,WA101,4470.1 kW,11.8 m/s
2026-02-09 06:22:48,WA101,4506.8 kW,15.6 m/s
2026-02-09 06:23:31,WA101,4519.4 kW,11.1 m/s
2026-02-09 06:24:14,WA101,4514.4 kW,16.0 m/s
2026-02-09 06:24:55,WA101,4491.2 kW,14.9 m/s
2026-02-09 06:25:40,WA101,4495.6 kW,12.7 m/s
2026-02-09 06:26:23,WA101,4510.2 kW,14.8 m/s
2026-02-09 06:27:08,WA101,4545.4 kW,15.3 m/s
2026-02-09 06:27:50,WA101,4552.8 kW,15.2 m/s
2026-02-09 06:28:30,WA101,4484.5 kW,10.8 m/s
2026-02-09 06:29:15,WA101,4554.3 kW,9.0 m/s
2026-02-09 07:59:23,WA101,4504.2 kW,10.7 m/s
2026-02-09 08:00:12,WA101,4489.2 kW,12.4 m/s
2026-02-09 08:00:59,WA101,3826.4 kW,8.8 m/s
2026-02-09 08:01:43,WA101,4445.4 kW,10.2 m/s
2026-02-09 08:02:28,WA101,4473.4 kW,12.9 m/s
2026-02-09 08:03:14,WA101,3410.4 kW,8.3 m/s
2026-02-09 08:03:56,WA101,3147.8 kW,6.8 m/s
2026-02-09 08:04:40,WA101,4471.9 kW,12.5 m/s
2026-02-09 08:05:34,WA101,4449.8 kW,11.4 m/s
2026-02-09 08:06:19,WA101,4498.3 kW,11.5 m/s
2026-02-09 08:07:04,WA101,4489.5 kW,11.3 m/s
2026-02-09 08:07:50,WA101,4448.4 kW,9.1 m/s
2026-02-09 08:08:40,WA101,4489.5 kW,13.6 m/s
2026-02-09 08:09:27,WA101,4576.3 kW,12.8 m/s
2026-02-09 08:10:13,WA101,4434.8 kW,8.7 m/s
2026-02-09 08:10:55,WA101,3869.5 kW,8.3 m/s
2026-02-09 08:11:51,WA101,4534.5 kW,10.9 m/s
2026-02-09 08:12:33,WA101,4495.7 kW,14.2 m/s
2026-02-09 08:13:15,WA101,4500.3 kW,13.6 m/s
