Timestamp,Turbine Name,Active Power,Wind Speed
2026-02-07 20:33:29,WA101,4253.8 kW,8.6 m/s
2026-02-07 20:34:12,WA101,3398.1 kW,7.4 m/s
2026-02-07 20:34:55,WA101,4506.7 kW,8.5 m/s
2026-02-07 20:35:39,WA101,4465.0 kW,8.9 m/s
2026-02-07 20:36:20,WA101,4502.8 kW,11.4 m/s
2026-02-07 20:37:03,WA101,4503.4 kW,10.1 m/s
2026-02-07 20:37:43,WA101,4498.1 kW,8.5 m/s
2026-02-07 20:38:26,WA101,4157.2 kW,8.7 m/s
2026-02-07 20:39:08,WA101,4501.9 kW,10.0 m/s
2026-02-07 20:39:48,WA101,3662.8 kW,7.9 m/s
2026-02-07 20:40:31,WA101,3716.8 kW,7.6 m/s
